sitename,countryid,countrycode,itemrank,sweepid,latitude,uniqueident,infothree,ar,address,categoryurl,storeid,area,zipcode,infofive,openingtimes,infofour,categorypath,addresstype,bilanzgesellschaft,pagenumber,infotwo,overlayoperatordata,createdon,longitude,nf
Lidl,3410,FR,30,14001,48.9161,Lidl_FR_3410_14001,,6,225 rue de Stalingrad,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_3410,BOBIGNY,93000,,lun-sam 08:30-20:00 dim 09:00-12:00,,FR,1,1,8,,,17/02/2015 18:29,2.42433,TRUE
Lidl,1605,FR,31,14001,48.93831,Lidl_FR_1605_14001,,26,39 boulevard Charles de Gaulle,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_1605,VILLENEUVE LA GARENNE,92390,,lun-sam 8h30-20h,,FR,1,1,8,,,17/02/2015 18:29,2.32782,TRUE
Lidl,1058,FR,32,14001,48.77817,Lidl_FR_1058_14001,,19,132-162 rue Julian Grimau,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_1058,VITRY SUR SEINE,94400,,lun-sam 08:30-20:30 dim 09:00-12:30,,FR,1,1,8,,,17/02/2015 18:29,2.37662,TRUE
Lidl,2864,FR,33,14001,48.80774,Lidl_FR_2864_14001,,10,34 rue Georges Clémenceau,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_2864,MAISONS ALFORT,94700,,lun-sam 8h30-20h,,FR,1,1,8,,,17/02/2015 18:29,2.44401,TRUE
Lidl,1308,FR,4,14001,48.86212,Lidl_FR_1308_14001,,10,130 Rue du Chemin Vert,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_1308,PARIS,75011,,lun-sam : 09:00 - 19:30,,FR,1,1,8,,,17/02/2015 18:29,2.38486,TRUE
Lidl,1063,FR,5,14001,48.8352,Lidl_FR_1063_14001,,10,24-28 rue Labrouste,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_1063,PARIS,75015,,lun-sam : 08:00 - 21:00,,FR,1,1,8,,,17/02/2015 18:29,2.30885,TRUE
Lidl,3216,FR,6,14001,48.84275,Lidl_FR_3216_14001,,10,112 avenue de Daumesnil,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_3216,PARIS,75012,,lun-sam : 08:00 - 21:00 Magasin équipé d'une boulangerie,,FR,1,1,8,bake,,17/02/2015 18:29,2.38458,TRUE
Lidl,3212,FR,8,14001,48.82431,Lidl_FR_3212_14001,,10,66 avenue d'Ivry,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_3212,PARIS,75013,,lun-sam : 08:00 - 21:00,,FR,1,1,8,,,17/02/2015 18:29,2.36385,TRUE
Lidl,1087,FR,35,14001,48.78055,Lidl_FR_1087_14001,,19,Rue Rouget de Lisle,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_1087,VITRY SUR SEINE,94400,,lun-sam 8h30-20h,,FR,1,1,8,,,17/02/2015 18:29,2.39467,TRUE
Lidl,3007,FR,37,14001,48.79083,Lidl_FR_3007_14001,,26,101 rue de la Porte de Trivaux,https://spatial.virtualearth.net/REST/v1/data/717c7792c09a4aa4a53bb789c6bb94ee/Filialdaten-FR/Filialdaten-FR?spatialFilter=nearby(48.8569297790527342.3412001132965091000)&$filter=Adresstyp%20Eq%201&$top=1000&$format=json&key=AgC167Ojch2BCIEvqkvyrhl-yLiZLv6nCK_p0K1wyilYx4lcOnTjm6ud60JnqQAa,Lidl_FR_3007,CLAMART,92140,,lun-ven 8h30-20h sam 8h30-19h,,FR,1,1,8,bake,,17/02/2015 18:29,2.2593,TRUE
